drug_item_id,generic_name,brand_name,aliases,table_type,item_kind,category,supplier,manufacturer,has_drug_diagnosis_links,audit_status,match_method,confidence,official_source,official_code_or_license,official_name_zh,official_name_en,official_ingredient,official_atc_code,reason,recommended_next_action
14,IRBESARTAN 300MG + HYDROCHLORO,Aprovel 安普諾維(原廠),,oral,oral_drug,口服藥,大昌華嘉,賽諾菲,yes,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,AB57864100,"""永勝""愛必斯膜衣錠300毫克","Heipo F.C. Tablets 300mg ""EVEREST""",IRBESARTAN 300 MG,C09CA04,`IRBESARTAN 300MG + HYDROCHLORO` contains/contained by official `IRBESARTAN 300 MG`; candidates=30; risk=疑似 OCR/截斷字串,人工抽查後納入官方欄位補強候選
15,CLONAZEPAM 0.5 MG,RIVOTRIL 利福全(管制藥),,oral,oral_drug,口服藥,大昌華嘉,ROCHE,no,likely_correct_but_missing_fields,contains_match,low,TFDA license,衛署藥輸字第013562號,寧安軟膠囊,ZEPAM CAPSULES,DIAZEPAM,,`CLONAZEPAM 0.5 MG` contains/contained by official `ZEPAM CAPSULES`; candidates=30,人工抽查後納入官方欄位補強候選
16,AMIODARONE HCL,Lordarone(CORDARONE) 臟得樂,,oral,oral_drug,口服藥,大昌華嘉,賽諾菲,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第014509號,得舒保朗錠,RYTHMARONE,AMIODARONE HCL,,`AMIODARONE HCL` exact matched official ingredient: `AMIODARONE HCL`,低優先；可後續補官方代碼欄位設計
17,Glimepiride2mg+Meformin500mg,Amaryl-M 美爾胰,,oral,oral_drug,口服藥,大昌華嘉,賽諾菲,no,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,A047172100,欣益糖錠 2.0 毫克,Amepiride Tablets 2.0MG,GLIMEPIRIDE 2 MG,A10BB12,`Glimepiride2mg+Meformin500mg` contains/contained by official `GLIMEPIRIDE 2 MG`; candidates=30; risk=疑似 OCR/截斷字串,人工抽查後納入官方欄位補強候選
18,Tamsulosin,Harnalidge D 活路利淨,,oral,oral_drug,口服藥,大昌華嘉,安斯泰來,yes,likely_correct,exact_normalized_match,high,TFDA license,衛部藥輸字第026144號,鹽酸坦羅森,Tamsulosin HCl,,,`Tamsulosin` exact matched official en: `Tamsulosin HCl`,低優先；可後續補官方代碼欄位設計
19,Zolpidem,Stilnox10mg 使蒂諾斯(管制藥),,oral,oral_drug,口服藥,大昌華嘉,安斯泰來,no,likely_correct_but_missing_fields,exact_normalized_match,medium,TFDA ATC,衛部藥製字第058252號,,zolpidem,,N05CF02,`Zolpidem` exact matched official atc_name_en: `zolpidem`; risk=含數字/單位但官方弱匹配,人工抽查後納入官方 ATC/許可證/健保碼欄位補強候選
20,Mecobalamin,Methycobal 彌可保,,oral,oral_drug,口服藥,大昌華嘉,衛采,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第021272號,美可巴邁糖衣錠５００微公克,MECOBAMIDE 500UG S.C. TABLETS,MECOBALAMIN,,`Mecobalamin` exact matched official ingredient: `MECOBALAMIN`,低優先；可後續補官方代碼欄位設計
21,Amlodipine,Norvasc 脈優,,oral,oral_drug,口服藥,久裕,輝瑞,yes,likely_correct_but_missing_fields,exact_normalized_match,medium,TFDA ATC,衛部藥製字第058112號,,amlodipine,,C08CA01,`Amlodipine` exact matched official atc_name_en: `amlodipine`,人工抽查後納入官方 ATC/許可證/健保碼欄位補強候選
22,Gabapentin,Neurontin 鎮頑癲,,oral,oral_drug,口服藥,久裕,輝瑞,no,likely_correct,exact_normalized_match,high,TFDA license,衛部藥陸輸字第000718號,佳巴本汀,Gabapentin,,,`Gabapentin` exact matched official en: `Gabapentin`,低優先；可後續補官方代碼欄位設計
23,Gemfibrozil,Lopid 洛脂,,oral,oral_drug,口服藥,久裕,輝瑞,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第021274號,洛脂膜衣錠６００公絲,LOPID F.C TABLETS 600MG,GEMFIBROZIL,,`Gemfibrozil` exact matched official ingredient: `GEMFIBROZIL`,低優先；可後續補官方代碼欄位設計
24,Atorvastatin,Lipitor 立普妥,,oral,oral_drug,口服藥,久裕,輝瑞,yes,likely_correct_but_missing_fields,exact_normalized_match,medium,TFDA ATC,衛部藥製字第058041號,,atorvastatin,,C10AA05,`Atorvastatin` exact matched official atc_name_en: `atorvastatin`,人工抽查後納入官方 ATC/許可證/健保碼欄位補強候選
25,Mefenamic acid,Ponstan/Ponstal 博疏痛,,oral,oral_drug,口服藥,久裕,輝瑞,no,likely_correct,ingredient_match,high,TFDA license,內衛藥製字第001043號,博疏痛膠囊,PONSTAN KAPSEALS,MEFENAMIC ACID,,`Mefenamic acid` exact matched official ingredient: `MEFENAMIC ACID`,低優先；可後續補官方代碼欄位設計
26,Minoxidil,Loniten 洛寧,,oral,oral_drug,口服藥,久裕,輝瑞,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第021278號,落建外用溶液５％,REGAINE TOPICAL SOLUTION 5%,MINOXIDIL,,`Minoxidil` exact matched official ingredient: `MINOXIDIL`,低優先；可後續補官方代碼欄位設計
27,Nitroglycerin,N.T.G/Nitrostat 耐絞寧,,oral,oral_drug,口服藥,久裕,輝瑞,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第021685號,耐絞寧錠０．４公絲,NITROSTAT TABLETS 0.4MG,NITROGLYCERIN,,`Nitroglycerin` exact matched official ingredient: `NITROGLYCERIN`,低優先；可後續補官方代碼欄位設計
28,Colchicine,Colchicine 可樂喜定,,oral,oral_drug,口服藥,久裕,塩野義,no,likely_correct,brand_match,high,NHI payment,A005225100,癒風錠,COLCHICINE TABLETS,COLCHICINE .5 MG,M04AC01,`Colchicine` exact matched official en: `COLCHICINE TABLETS`,低優先；可後續補官方代碼欄位設計
29,PROCHLORPERAZINE,Novamin 諾安命,,oral,oral_drug,口服藥,久裕,塩野義,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第021331號,止吐能注射液５公絲/公撮,PROCHLORPERAZINE EDISYLATE INJECTION USP 5MG/ML,PROCHLORPERAZINE,,`PROCHLORPERAZINE` exact matched official ingredient: `PROCHLORPERAZINE`,低優先；可後續補官方代碼欄位設計
30,Doxazosin,Doxaben XL 可迅持續錠,,oral,oral_drug,口服藥,久裕,輝瑞,no,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,AC59902100,健列舒錠2毫克,Genlease Tablets 2mg,DOXAZOSIN (MESYLATE) 2 MG,C02CA04,`Doxazosin` contains/contained by official `DOXAZOSIN (MESYLATE) 2 MG`; candidates=30,人工抽查後納入官方欄位補強候選
31,Acetylcysteine,Actein 愛克痰,,oral,oral_drug,口服藥,健喬信元,健喬信元,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第012942號,富露依木施顆粒２００公絲,"FLUIMUCIL GRANULES 200MG ""ZAMBON""",ACETYLCYSTEINE,,`Acetylcysteine` exact matched official ingredient: `ACETYLCYSTEINE`,低優先；可後續補官方代碼欄位設計
32,Carvedilol,Syntrend(CARDILO) 心全 6.25/Dilatrend 12.5),,oral,oral_drug,口服藥,健喬信元,健喬信元,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第025966號,卡維地洛,Carvedilol,,,`Carvedilol` exact matched official en: `Carvedilol`,低優先；可後續補官方代碼欄位設計
33,Allopurinol,Synorid 欣律,,oral,oral_drug,口服藥,健喬信元,健喬信元,yes,likely_correct,exact_normalized_match,high,NHI payment,B013001100,亞羅部理能膠囊,ALLOPURINOL CAPSULES,ALLOPURINOL 100 MG,M04AA01,`Allopurinol` exact matched official en: `ALLOPURINOL CAPSULES`,低優先；可後續補官方代碼欄位設計
34,Bisoprolol,Biso 百適歐 更換普康膜衣錠(bisoprolol),,oral,oral_drug,口服藥,健喬信元,健喬信元,yes,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第022315號,脈好博錠５公絲,MONOCOR TABLETS 5MG,BISOPROLOL,,`Bisoprolol` exact matched official ingredient: `BISOPROLOL`,低優先；可後續補官方代碼欄位設計
35,Acetylcysteine,Actein Effervescent 愛克痰發泡錠,,oral,oral_drug,口服藥,健喬信元,健喬信元,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第012942號,富露依木施顆粒２００公絲,"FLUIMUCIL GRANULES 200MG ""ZAMBON""",ACETYLCYSTEINE,,`Acetylcysteine` exact matched official ingredient: `ACETYLCYSTEINE`,低優先；可後續補官方代碼欄位設計
36,ISOSORBIDE,COXINE 冠欣持續性藥效膜衣錠,,oral,oral_drug,口服藥,健喬信元,健喬信元,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第006177號,施洛得液,ISOBIDE SOLUTION,ISOSORBIDE,,`ISOSORBIDE` exact matched official ingredient: `ISOSORBIDE`,低優先；可後續補官方代碼欄位設計
37,"Kaolin 167mg, bismuth subcarbon",K B T 克瀉寧錠,,oral,oral_drug,口服藥,健喬信元,健喬信元,no,likely_correct,brand_match,high,NHI payment,N007592100,克瀉寧錠,K.B.T. TABLETS,KAOLIN (WHITE)(=BOLUS ALBA) 167 MG+SCOPOLIA EXTRACT 3 MG+ALBUMIN TANNATE (=TANNALBIN) 167 MG+BISMUTH SUBCARBONATE 167 MG,A07XA51,`克瀉寧錠` exact matched official zh: `克瀉寧錠`,低優先；可後續補官方代碼欄位設計
38,EZETIMIBE 10 MG,Agitin 愛脂婷錠,,oral,oral_drug,口服藥,健喬信元,健喬信元,no,likely_correct,ingredient_match,high,NHI payment,AC60610100,怡優脂錠10毫克,Ezetity Tablets 10mg,EZETIMIBE 10 MG,C10AX09,`EZETIMIBE 10 MG` exact matched official ingredient: `EZETIMIBE 10 MG`,低優先；可後續補官方代碼欄位設計
39,Dimethylpolysiloxane,Gascon/Kascoal 加斯克兒,,oral,oral_drug,口服藥,永信,永信,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第001385號,二甲基多元矽醚,DIMETHYLPOLYSILOXANE,SIMETHICONE (ACTIVE DIMETHICONE),,`Dimethylpolysiloxane` exact matched official en: `DIMETHYLPOLYSILOXANE`,低優先；可後續補官方代碼欄位設計
40,Furosemide,Lasix/Rasitol 來喜妥,,oral,oral_drug,口服藥,永信,永信,no,likely_correct,ingredient_match,high,TFDA license,內衛藥製字第013992號,服樂泄注射液,"FURSEMIDE INJECTION ""H.S.C.""",FUROSEMIDE,,`Furosemide` exact matched official ingredient: `FUROSEMIDE`,低優先；可後續補官方代碼欄位設計
41,LORATADINE,MINLIFE(CLATINE) 敏福錠,,oral,oral_drug,口服藥,永信,永信,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第022464號,樂雷塔定,LORATADINE,LORATADINE,,`LORATADINE` exact matched official en: `LORATADINE`,低優先；可後續補官方代碼欄位設計
42,Aspirin,Bokey 伯基,,oral,oral_drug,口服藥,永信,永信,no,likely_correct,exact_normalized_match,high,NHI payment,B017332100,"""拜耳""阿斯匹林錠５００毫克",ASPIRIN TABLETS,ASPIRIN 500 MG,N02BA01,`Aspirin` exact matched official en: `ASPIRIN TABLETS`,低優先；可後續補官方代碼欄位設計
43,VALSARTAN 160 MGAMLODIPINE BES,EXFOPINE 安普新,,oral,oral_drug,口服藥,永信,永信,no,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,AA55557100,"""生達""壓立緩膜衣錠160毫克","Decpress Film coated Tablets 160mg""Standard""",VALSARTAN 160 MG,C09CA03,`VALSARTAN 160 MGAMLODIPINE BES` contains/contained by official `VALSARTAN 160 MG`; candidates=30,人工抽查後納入官方欄位補強候選
44,Omeprazole,Losec/Omelon 護胃康,,oral,oral_drug,口服藥,永信,永信,no,likely_correct,exact_normalized_match,high,TFDA license,衛部藥陸輸字第000782號,奧美拉唑,Omeprazole,,,`Omeprazole` exact matched official en: `Omeprazole`,低優先；可後續補官方代碼欄位設計
45,Benzbromarone,Beenrone 勉治,,oral,oral_drug,口服藥,永信,永信,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第022414號,本普麻隆〝優門〞,BENZBROMARONE,BENZBROMARONE,,`Benzbromarone` exact matched official en: `BENZBROMARONE`,低優先；可後續補官方代碼欄位設計
46,Rosuvastatin,Rosustin 優脂定,,oral,oral_drug,口服藥,永信,永信,yes,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,A057194100,絡益達膜衣錠10毫克,Rozinin F.C. Tablets 10mg,ROSUVASTATIN CALCIUM 10 MG,C10AA07,`Rosuvastatin` contains/contained by official `ROSUVASTATIN CALCIUM 10 MG`; candidates=30,人工抽查後納入官方欄位補強候選
47,Pioglitazone,Glitos/Glutazone 欣促胰,,oral,oral_drug,口服藥,永信,永信,no,likely_correct_but_missing_fields,exact_normalized_match,medium,TFDA ATC,衛署藥製字第049085號,,pioglitazone,,A10BG03,`Pioglitazone` exact matched official atc_name_en: `pioglitazone`,人工抽查後納入官方 ATC/許可證/健保碼欄位補強候選
48,Olmesartan,Olmesardin 妥得降,,oral,oral_drug,口服藥,永信,永信,yes,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,AC61466100,?優惠脈錠5/40毫克,OlsaaCa Tablets 5/40 mg,OLMESARTAN MEDOXOMIL 40 MG+AMLODIPINE BESYLATE 6.94 MG,C09DB02,`Olmesartan` contains/contained by official `OLMESARTAN MEDOXOMIL 40 MG+AMLODIPINE BESYLATE 6.94 MG`; candidates=30,人工抽查後納入官方欄位補強候選
49,Famotidine,Gaster/Voker 非潰,,oral,oral_drug,口服藥,永信,永信,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第021279號,倍胃健膜衣錠２０公絲,PEPZAN 20MG F.C. TABLETS,FAMOTIDINE,,`Famotidine` exact matched official ingredient: `FAMOTIDINE`,低優先；可後續補官方代碼欄位設計
50,Hyoscine-N-Butylbromide,Buscopan/Butyscol/Fucon 保腸康,,oral,oral_drug,口服藥,永信,永信,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第023290號,溴化丁基東茛碧鹼〝阿肯〞,HYOSCINE N-BUTYL BROMIDE,BUTYLSCOPOLAMINE BROMIDE (EQ TO HYOSCINE-N-BUTYLBROMIDE),,`Hyoscine-N-Butylbromide` exact matched official en: `HYOSCINE N-BUTYL BROMIDE`,低優先；可後續補官方代碼欄位設計
51,SILYMARIN70mg+NICOTINAMIDE 12m,Luckyhepa(Silymarin) 肝福,,oral,oral_drug,口服藥,永信,永信,no,likely_correct,brand_match,high,NHI payment,AC28333100,肝福膠囊,LUCKYHEPA CAPSULES,SILYMARIN (FRUCTUS CARDUI MARIAE EXTRACT) 70 MG+NIACINAMIDE (=NICOTINAMIDE) 12 MG+THIAMINE HCL (=THIAMINE CHLORIDE HYDROCHLORIDE) 4 MG+RIBOFLAVIN (=VIT B2) 4 MG+PYRIDOXINE HCL 4 MG+CYANOCOBALAMIN (=VIT B12) 1.2 MCG,A05BA,`Luckyhepa` exact matched official en: `LUCKYHEPA CAPSULES`,低優先；可後續補官方代碼欄位設計
52,AMBROXOL,AXOL(TALIPIN) 暢痰,,oral,oral_drug,口服藥,永信,永信,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第019913號,艾普樂索鹽酸鹽,AMBROXOL HCL,AMBROXOL HYDROCHLORIDE,,`AMBROXOL` exact matched official en: `AMBROXOL HCL`,低優先；可後續補官方代碼欄位設計
53,LYSOZYME (CHLORIDE),NOFLAGMA 化炎(來縮酵素),,oral,oral_drug,口服藥,永信,永信,no,likely_correct,exact_normalized_match,high,NHI payment,B013800100,膿酵錠,LYSOZYME CHLORIDE TABLETS,LYSOZYME (CHLORIDE) 10 MG,V03AX,`LYSOZYME (CHLORIDE)` exact matched official en: `LYSOZYME CHLORIDE TABLETS`,低優先；可後續補官方代碼欄位設計
54,Fosinopril,Fonosil 壓速利,,oral,oral_drug,口服藥,生達,生達,no,likely_correct_but_missing_fields,exact_normalized_match,medium,TFDA ATC,衛署藥輸字第021421號,,fosinopril,,C09AA09,`Fosinopril` exact matched official atc_name_en: `fosinopril`,人工抽查後納入官方 ATC/許可證/健保碼欄位補強候選
55,Lovastatin,Lovast/Delipic 舒脂,,oral,oral_drug,口服藥,生達,生達,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第021305號,美樂血脂錠２０公絲,MEDOSTATIN TABLETS 20MG,LOVASTATIN,,`Lovastatin` exact matched official ingredient: `LOVASTATIN`,低優先；可後續補官方代碼欄位設計
56,Tamsulosin,Tamlosin 暢利淨,,oral,oral_drug,口服藥,生達,生達,yes,likely_correct,exact_normalized_match,high,TFDA license,衛部藥輸字第026144號,鹽酸坦羅森,Tamsulosin HCl,,,`Tamsulosin` exact matched official en: `Tamsulosin HCl`,低優先；可後續補官方代碼欄位設計
57,Chlorpheniramine2.5mg+Panadol2,Colfon 克風,,oral,oral_drug,口服藥,生達,生達,no,likely_correct,brand_match,high,NHI payment,N001097100,"""生達"" 克風膠囊",COLFON CAPSULES,HESPERIDIN (=VIT P) 5 MG+ACETAMINOPHEN (=PARACETAMOL) 240 MG+SALICYLAMIDE 250 MG+CAFFEINE ANHYDROUS 25 MG+DEXTROMETHORPHAN HBR 5 MG+THIAMINE MONONITRATE 5 MG,R05X,`Colfon` exact matched official en: `COLFON CAPSULES`,低優先；可後續補官方代碼欄位設計
58,Atenolol,Ateol(Tenomin)UROSIN 壓平樂,,oral,oral_drug,口服藥,生達,永信,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第021306號,愛好摶錠１００公絲,ATENOLOL TABLETS 100MG,ATENOLOL,,`Atenolol` exact matched official ingredient: `ATENOLOL`,低優先；可後續補官方代碼欄位設計
59,Febuxostat,Feburic/Febuton 達理痛,,oral,oral_drug,口服藥,生達,生達,yes,likely_correct,exact_normalized_match,high,TFDA license,衛部藥陸輸字第001192號,苯丁氧噻唑酸,Febuxostat,,,`Febuxostat` exact matched official en: `Febuxostat`,低優先；可後續補官方代碼欄位設計
60,Irbesartan,Aprotan 壓利安,,oral,oral_drug,口服藥,生達,生達,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第025965號,壓可穩錠300毫克,Converium 300mg Tablets,IRBESARTAN,,`Irbesartan` exact matched official ingredient: `IRBESARTAN`,低優先；可後續補官方代碼欄位設計
61,Atorvastatin,Atorva 立舒脂(立脂妥),,oral,oral_drug,口服藥,生達,生達,yes,likely_correct_but_missing_fields,exact_normalized_match,medium,TFDA ATC,衛部藥製字第058041號,,atorvastatin,,C10AA05,`Atorvastatin` exact matched official atc_name_en: `atorvastatin`,人工抽查後納入官方 ATC/許可證/健保碼欄位補強候選
62,Nifedipine,Adapine/Adalat 壓悅達,,oral,oral_drug,口服藥,生達,生達,no,likely_correct,exact_normalized_match,high,NHI payment,A023997100,舒心寧膠囊（尼非待平）,NIFEDIPINE CAPSULES,NIFEDIPINE 10 MG,C08CA05,`Nifedipine` exact matched official en: `NIFEDIPINE CAPSULES`,低優先；可後續補官方代碼欄位設計
63,Mosapride,Mosapin 順胃暢,,oral,oral_drug,口服藥,生達,生達,no,likely_correct_but_missing_fields,exact_normalized_match,medium,TFDA ATC,衛部藥製字第058263號,,mosapride,,A03FA09,`Mosapride` exact matched official atc_name_en: `mosapride`,人工抽查後納入官方 ATC/許可證/健保碼欄位補強候選
64,Propranolol,Propranolol(Inderol) 心律,,oral,oral_drug,口服藥,生達,生達,no,likely_correct,brand_match,high,NHI payment,A014164100,健心寧錠,PROPRANOLOL TABLETS,PROPRANOLOL HCL 40 MG,C07AA05,`Propranolol` exact matched official en: `PROPRANOLOL TABLETS`,低優先；可後續補官方代碼欄位設計
65,TICLOPIDINE,Licodin 利血達,,oral,oral_drug,口服藥,華興,東生華,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第022467號,鹽酸梯可匹定〝大普〞,TICLOPIDINE HYDROCHLORIDE,TICLOPIDINE HCL,,`TICLOPIDINE` exact matched official ingredient: `TICLOPIDINE HCL`,低優先；可後續補官方代碼欄位設計
66,NICORANDIL,Sigmart 喜革脈,,oral,oral_drug,口服藥,華興,中外,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第024910號,尼可朗迪,NICORANDIL,,,`NICORANDIL` exact matched official en: `NICORANDIL`,低優先；可後續補官方代碼欄位設計
67,Olmesartan,Olmetec 雅脈,,oral,oral_drug,口服藥,裕利,台灣第一三共/Daiichi,yes,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,AC61466100,?優惠脈錠5/40毫克,OlsaaCa Tablets 5/40 mg,OLMESARTAN MEDOXOMIL 40 MG+AMLODIPINE BESYLATE 6.94 MG,C09DB02,`Olmesartan` contains/contained by official `OLMESARTAN MEDOXOMIL 40 MG+AMLODIPINE BESYLATE 6.94 MG`; candidates=30,人工抽查後納入官方欄位補強候選
68,Carvedilol,Dilatrend 達利全,,oral,oral_drug,口服藥,裕利,Delpharm,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第025966號,卡維地洛,Carvedilol,,,`Carvedilol` exact matched official en: `Carvedilol`,低優先；可後續補官方代碼欄位設計
69,Rosuvastatin,Crestor 冠脂妥(阿斯),,oral,oral_drug,口服藥,裕利,阿斯特捷,yes,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,A057194100,絡益達膜衣錠10毫克,Rozinin F.C. Tablets 10mg,ROSUVASTATIN CALCIUM 10 MG,C10AA07,`Rosuvastatin` contains/contained by official `ROSUVASTATIN CALCIUM 10 MG`; candidates=30,人工抽查後納入官方欄位補強候選
70,Metoprolol,Betalor Zok (100) 舒壓寧控釋錠 (阿斯),,oral,oral_drug,口服藥,裕利,阿斯特捷,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第020540號,樂必舒緩釋錠１９０公絲,LOPRESOR OROS 190MG TABLETS,METOPROLOL,,`Metoprolol` exact matched official ingredient: `METOPROLOL`,低優先；可後續補官方代碼欄位設計
71,Perindopril,Acertil 雅施達,,oral,oral_drug,口服藥,裕利,施維雅,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第019431號,雅施達錠２公絲,ACERTIL TABLETS 2MG,PERINDOPRIL,,`Perindopril` exact matched official ingredient: `PERINDOPRIL`,低優先；可後續補官方代碼欄位設計
